"Fcilty_nam","Stor_Name","Phone","Street_add","Locality","Postcode","Hrs_of_bus","SuperCenter","Display_wd","Fcilty_typ_2","Xcoord","Ycoord","Hub","uuid"
"Santa Ana Super Center","Santa Ana Super Center"," 714-545-7101","1995 S. Standard Avenue","Santa Ana, Ca","92704","4:00 AM - 4:00 PM Monday- Friday","YES","1.5","www.behr.com","-117.8553272","33.7223739","","1"
"Washington Super Center","Washington Super Center"," 253-887-9337","840 Industry Drive N., #F","Algona, Wa","98001","4:00 AM - 4:00 PM Monday- Friday","YES","1.5","www.behr.com","-122.2445074","47.2891233","","2"
"Allentown Super Center","Allentown Super Center"," 610-395-6779","7529 Morris Court Bldg. 500 Westpark Bus Crt.","Alentown, Pa","18106","4:00 AM - 4:00 PM Monday- Friday","YES","1.5","www.behr.com","-81.0230702","29.1167683","","3"
"Sauk Village Super Center","Sauk Village Super Center","708-753-1820","21701 Mark Collins Dr.","Sauk Village, Il","60411","4:00 AM - 4:00 PM Monday- Friday","YES","1.5","www.behr.com","-87.584513","41.496485","","4"
"Orlando Super Center","Orlando Super Center"," 407-354-1600","7000 Kingspointe Parkway","Orlando, FL","32819","4:00 AM - 4:00 PM Monday- Friday","YES","1.5","www.behr.com","-81.436127","28.462425","","5"
"Roanoke Super Center","Roanoke Super Center"," 817-837-2600","701 Gateway Parkway","Roanoke, Tx","76262","4:00 AM - 4:00 PM Monday- Friday","YES","1.5","www.behr.com","-97.2421707","32.9978841","","6"
"Denver Super Center","Stapleton Business Center"," 303-371-3357","4501 Havana St. Bldg. D-4","Denver, CO","80238","4:00 AM - 4:00 PM Monday- Friday","YES","1.5","www.behr.com","-104.8746508","39.7781333","","7"
"Atlanta Super Center","Atlanta Super Center"," 770-210-8809","130 Declaration Drive","McDonough, Ga","30253","4:00 AM - 4:00 PM Monday- Friday","YES","1.5","www.behr.com","-84.163829","33.395925","","8"
"Aaron Roby","Home Depot Store # 118","4043600861","4325 NEW SNAPFINGER WOODS DR","DECATUR, GA","30035","7:00am - 4:00pm ","","1.5","www.homedepot.com","-84.1916721","33.711269","YES","101"
"Keith Wages","Home Depot Store # 175","4043600862","4136 JIMMY CARTER BLVD","NORCROSS, GA","30093","7:00am - 4:00pm ","","1.5","www.homedepot.com","-84.1904772","33.8686966","YES","102"
"David Lorenz","Home Depot Store # 116","4043600863","9037 HWY 92 SUITE 100","WOODSTOCK, GA","30189","7:00am - 4:00pm ","","1.5","www.homedepot.com","-84.5387448","34.0866826","YES","103"
"Daryle Holley","Home Depot Store # 6986","4704266370","2525 PIEDMONT ROAD NE","ATLANTA, GA","30324","7:00am - 4:00pm ","","1.5","www.homedepot.com","-84.3659317","33.8237508","YES","104"
"Jonathan Smith","Home Depot Store # 121","4705992204","2450 CUMBERLAND PKWY","ATLANTA, GA","30339","7:00am - 4:00pm ","","1.5","www.homedepot.com","-84.4761752","33.862023","YES","105"
"Pedro Montelongo","Home Depot Store # 115","4705992336","4343 TILLY MILL RD","ATLANTA, GA","30360","7:00am - 4:00pm ","","1.5","www.homedepot.com","-84.2809807","33.921966","YES","106"
"Raydel Pando","Home Depot Store # 6310","9544590214","3401 Oakwood Blvd","Hollywood, FL","33020","7:00am - 4:00pm ","","1.5","www.homedepot.com","-80.160698","26.041965","YES","107"
"Jaime Vidaurre","Home Depot Store # 208","5613250291","1151 NW COPANS RD","POMPANO BEACH, FL","33064","7:00am - 4:00pm ","","1.5","www.homedepot.com","-80.1385489","26.2616789","YES","108"
"Andrea Pokallus","Home Depot Store # 6379","5615968329","220 SOUTH STATE RD 7","WEST PALM BEACH, FL","33414","7:00am - 4:00pm ","","1.5","www.homedepot.com","-80.2009015","26.6761109","YES","109"
"Daniel Concepcion","Home Depot Store # 6343","7865668458","7899 W FLAGLER ST","MIAMI, FL","33144","7:00am - 4:00pm ","","1.5","www.homedepot.com","-80.323868","25.7752884","YES","110"
"Jorge Gay","Home Depot Store # 206","7868157227","11305 SOUTHWEST 40TH ST","MIAMI, FL","33165","7:00am - 4:00pm ","","1.5","www.homedepot.com","-80.3780633","25.7346975","YES","111"
"Joel Torres","Home Depot Store # 6322","7868157228","12055 BISCAYNE BLVD","MIAMI, FL","33181","7:00am - 4:00pm ","","1.5","www.homedepot.com","-80.163293","25.886739","YES","112"
"Romell Mazon","Home Depot Store # 6378","7868157230","950 SE 12TH ST","HIALEAH, FL","33010","7:00am - 4:00pm ","","1.5","www.homedepot.com","-80.2606511","25.8113037","YES","113"
"Rolando Fernandez","Home Depot Store # 210","7868157231","12700 N KENDALL DR","MIAMI, FL","33186","7:00am - 4:00pm ","","1.5","www.homedepot.com","-80.4007542","25.6857563","YES","114"
"Moises Bustos","Home Depot Store # 6372","9542139558","1000 NE 4TH AVE","FORT LAUDERDALE, FL","33304","7:00am - 4:00pm ","","1.5","www.homedepot.com","-80.1394348","26.1379396","YES","115"
"Eric Petitto","Home Depot Store # 249","9542139743","1701 W OAKLAND PARK BLVD","OAKLAND PARK, FL","33311","7:00am - 4:00pm ","","1.5","www.homedepot.com","-80.16551","26.167713","YES","116"
"Thierry Charles","Home Depot Store # 287","4075165983","1900 W STATE RD 426","OVIEDO, FL","32765","7:00am - 4:00pm ","","1.5","www.homedepot.com","-81.2304126","28.6544783","YES","117"
"Cody Hesser","Home Depot Store # 261","4077930186","7022 W COLONIAL DR","ORLANDO, FL","32818","7:00am - 4:00pm ","","1.5","www.homedepot.com","-81.4770815","28.5502197","YES","118"
"Jonathan Flynn","Home Depot Store # 264","4077930187","4600 W LAKE MARY BLVD","LAKE MARY, FL","32746","7:00am - 4:00pm ","","1.5","www.homedepot.com","-81.3564752","28.7579434","YES","119"
"Charles Hodoval","Home Depot Store # 6349","4077930188","5351 DIPLOMAT CIRCLE","ORLANDO, FL","32810","7:00am - 4:00pm ","","1.5","www.homedepot.com","-81.3880177","28.6094005","YES","120"
